id,name,group,description,themes,source
98,Turritopsis transdifferentiation,Marine,An adult jellyfish under stress reverts to its juvenile polyp stage and starts over.,Organizational change; Organizational decline; Adaptation,
99,Siphonophore colonial architecture,Marine,What looks like one animal is a colony of specialized clonal zooids that cannot survive alone.,Modularity; Boundaries of the firm; Organizational design,
100,Coral symbiont shuffling,Marine,Stressed corals expel their algae and can recruit more heat-tolerant strains instead.,Alliances; Adaptation; Crisis management,
101,Coral bleaching,Marine,Under heat stress the coral ejects the symbionts that supply most of its energy and often dies.,Crisis management; Organizational decline; Alliances,
102,Sea cucumber evisceration,Marine,The animal expels its own internal organs at a predator and regrows them over weeks.,Exit and divestiture; Crisis management; Resilience,
103,Octopus arm autonomy,Marine,"Two thirds of the neurons are in the arms, which solve local problems without central instruction.",Organizational design; Decision making; Coordination,
104,Octopus RNA editing,Marine,"Cephalopods rewrite their own RNA extensively, adapting proteins without genetic change.",Adaptation; Routines and capabilities; Organizational change,
105,Anglerfish sexual parasitism,Marine,"The tiny male fuses permanently into the female, losing his organs and becoming a gonad on her body.",Mergers and acquisitions; Boundaries of the firm; Resource dependence,
106,Cleaner wrasse markets,Marine,"Cleaner fish run stations, serve queues, and give better service when other clients are watching.",Reputation; Trust and opportunism; Governance,
107,Cleaner fish cheating and punishment,Marine,"Cleaners occasionally bite clients; clients chase or switch stations, and cleaners then behave.",Trust and opportunism; Governance; Cooperation,
108,Grouper and moray cooperative hunting,Marine,"A grouper signals with a headstand to recruit a moray, exploiting complementary hunting styles.",Alliances; Cooperation; Communication,
109,Sea squirt neural resorption,Marine,"The free-swimming larva finds a rock, attaches permanently, and digests its own brain.",Path dependence; Exploration and exploitation; Search and attention,
110,Semelparous salmon homing,Marine,"Salmon navigate back to their natal stream, spawn once, and die.",Path dependence; Strategy; Risk and uncertainty,
111,Sequential hermaphroditism,Marine,"In clownfish, the largest fish becomes female when the incumbent dies; the change is irreversible.",Succession; Careers and mobility; Status and hierarchy,
112,Sea star regeneration from fragments,Marine,A severed arm with part of the central disc can regrow an entire animal.,Spinoffs; Resilience; Routines and capabilities,
113,Bdelloid rotifer survival without sex,Marine,An entire asexual lineage persists for millions of years by desiccating and absorbing foreign DNA.,Absorptive capacity; Adaptation; Organizational ecology,
114,Tardigrade cryptobiosis,Marine,"Animals suspend metabolism entirely, surviving vacuum, radiation, and decades of drought.",Resilience; Organizational slack; Adaptation,
115,Whale fall succession,Marine,A single carcass supports a decades-long sequence of distinct specialist communities.,Organizational ecology; Organizational decline; Ecosystems and platforms,
116,Hydrothermal vent chemosynthesis,Marine,Whole ecosystems run on chemical energy with no sunlight and no connection to surface productivity.,Innovation; Strategy; Organizational ecology,
117,Mimic octopus,Marine,"One animal impersonates lionfish, sea snakes, and flatfish depending on the threat present.",Organizational identity; Impression management; Legitimacy,
118,Cuttlefish dual-sided signaling,Marine,A male displays courtship colors on the side facing a female and male camouflage on the other.,Impression management; Signaling; Deception and misconduct,
119,Decorator crab camouflage,Marine,The crab attaches living sponges and algae to its shell to acquire an appearance it cannot grow.,Legitimacy; Impression management; Isomorphism,
120,Cymothoa tongue replacement,Marine,A parasitic isopod destroys a fish's tongue and then functions as the tongue itself.,Resource dependence; Boundaries of the firm; Routines and capabilities,
121,Kleptoplasty in sea slugs,Marine,Elysia digests algae but keeps the chloroplasts alive inside itself and photosynthesizes for months.,Routines and capabilities; Absorptive capacity; Resource dependence,
122,Nudibranch nematocyst theft,Marine,Sea slugs eat stinging cells and relocate them undischarged into their own defensive tips.,Routines and capabilities; Innovation; Absorptive capacity,
123,Rhizocephalan barnacle castration,Marine,"A parasite invades a crab, sterilizes it, and makes it care for the parasite's brood as its own.",Resource allocation; Power and politics; Agency and incentives,
124,Diel vertical migration,Marine,The largest daily animal movement on earth is plankton commuting to avoid visual predators.,Temporality and timing; Competitive dynamics; Collective action,
125,Selfish herd bait balls,Marine,Fish crowd toward the center not for defense but to place others between themselves and danger.,Risk and uncertainty; Collective action; Cooperation,
126,Topological schooling rules,Marine,"Fish and birds track a fixed number of neighbors regardless of distance, giving scale-free coherence.",Coordination; Organizational design; Search and attention,
127,Dinoflagellate burglar alarm,Marine,"Disturbed plankton flash, illuminating their attacker for the attacker's own predator.",Governance; Crisis management; Signaling,
128,Counterillumination,Marine,Squid emit light on their underside to erase their silhouette against the surface.,Impression management; Signaling; Legitimacy,
129,Remora attachment,Marine,Fish attach to sharks for transport and scraps without paying and without harming the host.,Ecosystems and platforms; Resource dependence; Strategy,
130,Mantis shrimp cavitation strike,Marine,"Energy stored in a latch mechanism releases faster than muscle allows, boiling the water.",Routines and capabilities; Organizational design; Temporality and timing,
131,Salp chain colonies,Marine,"Solitary individuals bud into long clonal chains, scaling population explosively when food allows.",Growth and scaling; Modularity; Organizational ecology,
132,Vampire squid detritivory,Marine,It survives in oxygen minimum zones by drifting and collecting marine snow with minimal energy.,Strategy; Organizational ecology; Resource allocation,
133,Brood parasitism and egg rejection,Bird,Cuckoos lay in others' nests; hosts evolve discrimination; cuckoos evolve better forgeries.,Trust and opportunism; Selection and staffing; Competitive dynamics,
134,Cuckoo chick eviction,Bird,The parasite hatches first and pushes out the host's own eggs while the host keeps feeding it.,Mergers and acquisitions; Power and politics; Resource allocation,
135,Bowerbird construction,Bird,"Males build and decorate elaborate structures they never live in, purely as display.",Signaling; Impression management; Legitimacy,
136,Lyrebird mimicry,Bird,"Males reproduce chainsaws, shutters, and other species' songs as a repertoire display.",Signaling; Routines and capabilities; Impression management,
137,Obligate vulture scavenging,Bird,"Vultures specialize entirely on carrion, with acids that neutralize pathogens others cannot handle.",Strategy; Organizational ecology; Routines and capabilities,
138,Honeyguide-human mutualism,Bird,Wild birds lead specific human groups to hives in response to a learned human call.,Alliances; Cooperation; Institutional theory,
139,Skua kleptoparasitism,Bird,Skuas harass other seabirds until they surrender their catch rather than fishing themselves.,Competitive dynamics; Strategy; Trust and opportunism,
140,Emperor penguin huddle rotation,Bird,Birds continually cycle from the freezing periphery into the warm core in a fair traveling wave.,Cooperation; Teams and groups; Governance,
141,Corvid re-caching under observation,Bird,"Jays that were watched while hiding food return later and move it, but only if they have stolen themselves.",Knowledge transfer; Trust and opportunism; Organizational learning,
142,New Caledonian crow tool manufacture,Bird,Crows make hooked tools with regional design variants that accumulate refinements over time.,Innovation; Organizational learning; Organizational culture,
143,Starling murmuration,Bird,Coherent aerial waves emerge from each bird tracking roughly seven neighbors.,Coordination; Communication; Organizational design,
144,Megapode mound incubation,Bird,Birds bury eggs in decomposing vegetation and regulate temperature by adding or removing material.,Organizational design; Routines and capabilities; Ecosystems and platforms,
145,Helpers at the nest,Bird,"Grown offspring delay dispersal to raise siblings, inheriting the territory later.",Succession; Careers and mobility; Cooperation,
146,Drongo false alarm calls,Bird,"Drongos mimic others' alarm calls to scatter them and steal food, and switch calls when ignored.",Deception and misconduct; Signaling; Reputation,
147,Dear enemy effect,Bird,Territorial birds respond mildly to familiar neighbors and aggressively to strangers.,Competitive dynamics; Trust and opportunism; Status and hierarchy,
148,Song dialects,Bird,Local populations develop and maintain distinct song variants across short distances.,Organizational culture; Organizational identity; Communication,
149,Albatross divorce under stress,Bird,"Long-monogamous pairs separate more frequently in warm-water years, even after successful breeding.",Alliances; Stress and wellbeing; Organizational change,
150,Arctic tern migration,Bird,"The bird flies pole to pole annually, following winds rather than the direct route.",Strategy; Resource allocation; Temporality and timing,
151,Bar-headed goose high altitude flight,Bird,Physiology tuned for oxygen extraction lets it cross the Himalaya at heights that ground other birds.,Routines and capabilities; Competitive dynamics; Strategy,
152,Woodpecker impact tolerance,Bird,Cranial architecture allows repeated high-deceleration strikes as a routine working condition.,Reliability and safety; Organizational design; Resilience,
153,Prairie dog referential alarm calls,Bird,"Calls encode predator type, size, and even color of a human's clothing.",Communication; Reliability and safety; Crisis management,
154,Anting,Bird,Birds deliberately place ants in their feathers so formic acid handles their parasites.,Boundaries of the firm; Routines and capabilities; Risk and uncertainty,
155,Hoatzin wing claws,Bird,"Chicks have functional claws on their wings, lost in adulthood, used to climb after falling into water.",Routines and capabilities; Entrepreneurship; Path dependence,
156,Naked mole-rat eusociality,Mammal,A single breeding female suppresses reproduction in a colony of sterile specialized workers underground.,Status and hierarchy; Organizational design; Careers and mobility,
157,Negligible senescence,Mammal,Naked mole-rats show no rise in mortality with age and near-total cancer resistance.,Organizational decline; Resilience; Organizational ecology,
158,Vampire bat food sharing,Mammal,"Bats regurgitate blood to unrelated roostmates who fed them before, tracking individual histories.",Cooperation; Trust and opportunism; Interorganizational networks,
159,Meerkat sentinel rotation,Mammal,Individuals take turns in an exposed watching role that pays them nothing directly.,Cooperation; Reliability and safety; Teams and groups,
160,Meerkat graded teaching,Mammal,"Adults give pups dead scorpions, then disabled ones, then live ones, calibrated to pup age.",Organizational learning; Careers and mobility; Teams and groups,
161,Embryonic diapause,Mammal,A fertilized embryo pauses development for months until conditions favor gestation.,Temporality and timing; Resource allocation; Exploration and exploitation,
162,Hibernation and torpor,Mammal,"Metabolic rate drops by over 90 percent for months, with periodic costly arousals.",Organizational slack; Organizational decline; Resilience,
163,Antler shedding and regrowth,Mammal,Deer discard and completely rebuild a large complex organ annually.,Routines and capabilities; Organizational change; Temporality and timing,
164,Elephant matriarch ecological memory,Mammal,"Older matriarchs recall distant water sources used decades ago, and their groups survive droughts better.",Organizational memory; Leadership; Crisis management,
165,Orca menopause,Mammal,Females stop reproducing decades before death and lead groups to food during scarcity.,Leadership; Succession; Organizational memory,
166,Orca population-specific hunting cultures,Mammal,"Neighboring, genetically similar groups have incompatible diets, dialects, and techniques and do not mix.",Organizational culture; Organizational identity; Mergers and acquisitions,
167,Humpback song revolutions,Mammal,A new song variant spreads across an ocean basin within a few years and fully replaces the old one.,Isomorphism; Organizational culture; Organizational change,
168,Bat colony information centers,Mammal,"Unsuccessful foragers follow successful ones out, making the roost an information exchange.",Knowledge transfer; Search and attention; Organizational design,
169,Elephant seal reproductive skew,Mammal,A handful of males monopolize almost all matings; the rest get nothing.,Status and hierarchy; Agency and incentives; Competitive dynamics,
170,Chimpanzee coalitionary politics,Mammal,"Alpha status depends on alliances, and low-ranking males can be kingmakers.",Power and politics; Leadership; Status and hierarchy,
171,Baboon culture shift after selective mortality,Mammal,"When the most aggressive males died from contaminated meat, the troop's culture changed permanently and transmitted to immigrants.",Organizational culture; Organizational change; Selection and staffing,
172,Spotted hyena rank inheritance,Mammal,"Cubs inherit maternal rank directly, independent of size or fighting ability.",Status and hierarchy; Careers and mobility; Power and politics,
173,Wolf dispersal and lone wolves,Mammal,"Individuals leave established packs to search for territory, with high mortality and high payoff.",Entrepreneurship; Careers and mobility; Risk and uncertainty,
174,Beaver ecosystem engineering,Mammal,"Beavers rebuild hydrology to suit themselves, creating habitats that outlive them.",Institutional entrepreneurship; Ecosystems and platforms; Strategy,
175,Sloth low-metabolism niche,Mammal,Extremely slow metabolism supports an entire micro-ecosystem in the fur and evades visual predators.,Strategy; Organizational ecology; Resource allocation,
176,Giraffe pressure regulation,Mammal,Specialized vasculature manages blood pressure differences that would otherwise be fatal.,Growth and scaling; Organizational design; Reliability and safety,
177,Camel physiological tolerance,Mammal,Body temperature and hydration are allowed to swing widely rather than being tightly regulated.,Resilience; Rules and bureaucracy; Adaptation,
178,Honey badger risk tolerance,Mammal,Venom resistance and thick skin support behavior that would be suicidal for other animals.,Risk and uncertainty; Strategy; Routines and capabilities,
179,Opossum thanatosis,Mammal,"The animal enters an involuntary catatonic state, complete with smell of decay, until threat passes.",Crisis management; Strategy; Organizational decline,
180,Muskox defensive circle,Mammal,Adults form an outward-facing ring around the young when attacked.,Crisis management; Teams and groups; Cooperation,
181,Platypus electroreception,Mammal,"The bill senses electrical fields, giving a sensory channel no competitor in its range possesses.",Routines and capabilities; Competitive dynamics; Search and attention,
182,Silver fox domestication experiment,Mammal,"Selecting only for tameness produced floppy ears, spots, and altered hormones within decades.",Selection and staffing; Organizational culture; Diversity,
183,Island dwarfism and gigantism,Mammal,Isolated populations converge toward intermediate body sizes regardless of ancestry.,Organizational ecology; Isomorphism; Growth and scaling,
184,Cane toad spatial sorting,Mammal,"The invasion front is populated by the fastest dispersers, whose offspring are faster still.",Growth and scaling; Organizational ecology; Selection and staffing,
185,Social buffering in rats,Mammal,The presence of a familiar conspecific measurably blunts physiological stress responses.,Stress and wellbeing; Teams and groups; Cooperation,
186,Bowhead whale longevity,Mammal,Individuals live over two centuries with functioning DNA repair and low cancer incidence.,Organizational decline; Resilience; Reliability and safety,
187,Red Queen dynamics,Ecology,Continuous adaptation is required merely to hold constant relative fitness.,Competitive dynamics; Adaptation; Strategy,
188,Character displacement,Ecology,Species overlapping in range diverge in traits more than where they occur alone.,Competitive dynamics; Strategy; Organizational ecology,
189,Ecological succession,Ecology,Pioneer species alter conditions in ways that make themselves obsolete and admit later species.,Organizational ecology; Entrepreneurship; Temporality and timing,
190,Keystone species,Ecology,A low-abundance actor whose removal restructures an entire community.,Power and politics; Ecosystems and platforms; Interorganizational networks,
191,Trophic cascade,Ecology,Effects at the top propagate down multiple levels in unexpected directions.,Ecosystems and platforms; Risk and uncertainty; Organizational ecology,
192,Mesopredator release,Ecology,"Removing top predators triggers explosive growth of mid-level ones, often worse for the system.",Competitive dynamics; Organizational ecology; Institutional theory,
193,Regime shift with hysteresis,Ecology,A lake flips from clear to turbid at a threshold and will not flip back at the same nutrient level.,Organizational change; Path dependence; Organizational culture,
194,Alternative stable states,Ecology,The same conditions can support two persistent configurations depending on history.,Path dependence; Organizational design; Organizational ecology,
195,Allee effect,Ecology,"Below a critical density, population growth rate turns negative and collapse follows.",Growth and scaling; Ecosystems and platforms; Organizational ecology,
196,Extinction debt,Ecology,Populations persist for generations after habitat loss has already doomed them.,Organizational decline; Organizational ecology; Temporality and timing,
197,Source-sink dynamics,Ecology,"Populations persist in habitats where they cannot reproduce, sustained by immigration from elsewhere.",Resource allocation; Organizational ecology; Exit and divestiture,
198,Metapopulation rescue effect,Ecology,"Local extinctions are offset by recolonization from other patches, stabilizing the whole.",Resilience; Organizational ecology; Resource allocation,
